STUFFID,bibtex,author,year,ref_title,ref_journal,ref_volume,ref_page,ref_doi,no1,no2,type1,ref1,type2,ref2,notes_stim,data_name,nonling,language,notes_lang,language_glotto,notes_glotto,population,notes_var,accuracy,ambiguity,aoa,arousal,assoc,category,cloze,complex,concrete,confusion,context,dist,dominate,easelearn,familiar,freq,gpc,identify,identifyld,identifyn,imageagree,imagevar,imagine,intense,letters,meaning,modality,morph,nameagree,orthon,phonemes,phonon,pos,prime,pronounce,recall,recognition,rime,rt,semantic,sensory,sentcomp,similar,syllables,syntax,typical,valence,visualcomp,wordcomp
3,Bowen1971,Bowen,1971,The stability of the printed frequencies of occurrence of 420 English conceptual nouns,Psychonomic Science,23,156--158,,420,,Words,,,,Conceptual Nouns,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brown1984,Brown,1984,"A frequency count of 190,000 words in the London-Lund Corpus of English Conversation","Behavior Research Methods, Instruments, & Computers",16,502--532,10.3758/BF03200836,190000,,Corpus,,,,,,0,English,,stan1293,,,Conversational frequency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dunabeitia2010,"Dunabeitia, Cholin, Corral, Perea, & Carreiras",2010,SYLLABARIUM: An online application for deriving complete statistics for Basque and Spanish orthographic syllables,Behavior Research Methods,42,118--125,10.3758/BRM.42.1.118,1751,1481,Syllables,Spanish B-PAL: Davis & Perea (2005),Syllables,"Basque E-HITZ: Perea, Urkia, Davis, Agirre, Laseka, & Carreiras (2006)",,SYLLABARIUM,0,Spanish,Basque,stan1288,basq1248,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Duran2007,"Duran, McCarthy, Graesser, & McNamara",2007,Using temporal cohesion to predict temporal coherence in narrative and expository texts,Behavior Research Methods,39,212--223,10.3758/BF03193150,150,400,Other,,Words,MetaMetrics,,,1,English,,stan1293,,,Temporal cohesion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Durda2008,Durda & Buchanan,2008,WINDSORS: Windsor improved norms of distance and similarity of representations of semantics,Behavior Research Methods,40,705--712,10.3758/BRM.40.3.705,277000000,,Corpus,"BNC: Aston & Burnard (1997), Project Gutenberg, and Apple technical documentation",,,,,0,British English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Buchanan2009,"Durda, Buchanan, & Caron",2009,Grounding co-occurrence: Identifying features in a lexical co-occurrence model of semantic memory,Behavior Research Methods,41,1210--1223,10.3758/BRM.41.4.1210,593000000,,Corpus,,,,,,0,British English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Dussias2010,"Dussias, Marful, Gerfen, & Molina",2010,Usage frequencies of complement-taking verbs in Spanish and English: Data from Spanish monolinguals and Spanish-English bilinguals,Behavior Research Methods,42,1004--1011,10.3758/BRM.42.4.1004,81,54,Words,"Garnsey, Pearlmutter, Myers, & Lotocky (1997)",Words,Nash (1997),,,0,Multiple,"Spanish, English",,"stan1288, stan1293",,Verb Bias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Duyck2004,"Duyck, Desmet, Verbeke, & Brysbaert",2004,"WordGen: A tool for word selection and nonword generation in Dutch, English, German, and French",Behavior Research Methods,36,488--499,10.3758/BF03195595,,,Words,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)",,,,Word Gen,0,Multiple,"Dutch, English, German, French",,"dutc1256, stan1293, stan1295, stan1290",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Eakin2010,Eakin,2010,ListChecker Pro 1.2: A program designed to facilitate creating word lists using the University of South Florida word association norms,Behavior Research Methods,42,1012--1021,10.3758/BRM.42.4.1012,,,Other,"Nelson, McEvoy, & Schrieber (2004)",,,,ListChecker Pro 1.2,1,English,,stan1293,,,"Sample size, set size, and resonance",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Eilola2010,Eilola & Havelka,2010,Affective norms for 210 British English and Finnish nouns,Behavior Research Methods,42,134--140,10.3758/BRM.42.1.134,210,,Words,,,,,,0,Multiple,"Finnish, British English",,"finn1318, stan1293",,Emotional charge and offensiveness,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
