STUFFID,author,year,ref_title,ref_journal,ref_volume,ref_page,ref_doi,no1,no2,type1,ref1,type2,ref2,notes_stim,data_program,data_name,language,notes_lang,population,notes_var,aoa,ambiguity,arousal,assoc,category,cloze,complex,concrete,confusion,dist,dominate,easelearn,familiar,freq,gpc,identify,identifyld,identifyn,imagevar,imagine,intense,meaning,modality,morph,nameagree,orthon,pos,phonon,prime,pronounce,rt,recall,recognition,rime,semantic,sensory,sentcomp,typical,valence,visualcomp,wordcomp,syllables,letters,phonemes,imageagree,similar
3,Bowen,1971,The stability of the printed frequencies of occurrence of 420 English conceptual nouns,Psychonomic Science,23,156-158,,420,,Words,,,,Conceptual Nouns,0,,English,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brown,1984,"A frequency count of 190,000 words in the London-Lund Corpus of English Conversation","Behavior Research Methods, Instruments, & Computers",16,502-532,10.3758/BF03200836,190000,,Words,,,,,0,,English,,,Conversational frequency,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Dunabeitia, Cholin, Corral, Perea, & Carreiras",2010,SYLLABARIUM: An online application for deriving complete statistics for Basque and Spanish orthographic syllables,Behavior Research Methods,42,118-125,10.3758/BRM.42.1.118,1751,1481,Syllables,Spanish B-PAL: Davis & Perea (2005),Syllables,"Basque E-HITZ: Perea, Urkia, Davis, Agirre, Laseka, & Carreiras (2006)",,1,SYLLABARIUM,Spanish,Basque,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,"Duran, McCarthy, Graesser, & McNamara",2007,Using temporal cohesion to predict temporal coherence in narrative and expository texts,Behavior Research Methods,39,212-223,10.3758/BF03193150,150,400,Other,,Words,MetaMetrics,,0,,English,,,Temporal cohesion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Durda & Buchanan,2008,WINDSORS: Windsor improved norms of distance and similarity of representations of semantics,Behavior Research Methods,40,705-712,10.3758/BRM.40.3.705,277000000,,Words,"BNC: Aston & Burnard (1997), Project Gutenberg, and Apple technical documentation",,,,0,,British English,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,"Durda, Buchanan, & Caron",2009,Grounding co-occurrence: Identifying features in a lexical co-occurrence model of semantic memory,Behavior Research Methods,41,1210-1223,10.3758/BRM.41.4.1210,593000000,,Words,,,,,0,,British English,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,"Dussias, Marful, Gerfen, & Molina",2010,Usage frequencies of complement-taking verbs in Spanish and English: Data from Spanish monolinguals and Spanish-English bilinguals,Behavior Research Methods,42,1004-1011,10.3758/BRM.42.4.1004,81,54,Words,"Garnsey, Pearlmutter, Myers, & Lotocky (1997)",Words,Nash (1997),,0,,Multiple,"Spanish, English",,Verb Bias,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Duyck, Desmet, Verbeke, & Brysbaert",2004,"WordGen: A tool for word selection and nonword generation in Dutch, English, German, and French",Behavior Research Methods,36,488-499,10.3758/BF03195595,,,Words,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)",,,,1,Word Gen,Multiple,"Dutch, English, German, French",,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Eakin,2010,ListChecker Pro 1.2: A program designed to facilitate creating word lists using the University of South Florida word association norms,Behavior Research Methods,42,1012-1021,10.3758/BRM.42.4.1012,,,Other,"Nelson, McEvoy, & Schrieber (2004)",,,,1,ListChecker Pro 1.2,English,,,"Sample size, set size, and resonance",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Eilola & Havelka,2010,Affective norms for 210 British English and Finnish nouns,Behavior Research Methods,42,134-140,10.3758/BRM.42.1.134,210,,Words,,,,,0,,Multiple,"Finnish, British English",,Emotional charge and offensiveness,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Fear,1997,Ratings for Welsh words and their English equivalents,"Behavior Research Methods, Instruments, & Computers",29,425-445,10.3758/BF03200595,705,,Words,,,,,0,,Multiple,"English, Welsh",,,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Fearnley,1997,MRC Psycholinguistic Database search program,"Behavior Research Methods, Instruments, & Computers",29,291-295,10.3758/BF03204829,100000,,Words,MRC Psycholinguistic Database: Coltheart (1981); Wilson (1988),,,,1,MRC Search,British English,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Fernandez, Diez, Alonso, & Beato",2004,Free-association norms for the Spanish names of the Snodgrass and Vanderwart pictures,"Behavior Research Methods, Instruments, & Computers",36,577-583,10.3758/BF03195604,247,,Line drawings,Snodgrass & Vanderwart (1980),,,,0,,Spanish,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Ferrand, Bonin, Meot, Augustinova, New, Pallier, & Brysbaert",2008,Age-of-acquisition and subjective frequency estimates for all generally known monosyllabic French words and their relation with other psycholinguistic variables,Behavior Research Methods,40,1049-1054,10.3758/BRM.40.4.1049,1493,,Words,,,,,0,,French,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Ferrand, New, Brysbaert, Keuleers, Bonin, Meot, Augustinova, & Pallier",2010,"The French Lexicon Project: Lexical decision data for 38,840 French words and 38,840 pseudowords",Behavior Research Methods,42,488-496,10.3758/BRM.42.2.488,38840,38840,Words,"Lexique 2: New, Pallier, Brysbaert, & Ferrand (2004)",Pseudowords,,,1,French Lexicon Project,French,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Ferre, Guasch, Moldovan, & Sanchez-Casas",2012,Affective norms for 380 Spanish words belonging to three different semantic categories,Behavior Research Methods,44,395-403,10.3758/s13428-011-0165-x,380,,Words,"SPANEW: Redondo, Fraga, Padron, & Comesana (2007)",,,,0,,Spanish,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,Ferreira & Cutting,1997,Ninety-three pictures and 108 questions for the elicitation of homophones,"Behavior Research Methods, Instruments, & Computers",29,619-635,10.3758/BF03210616,93,108,Line drawings,"Snodgrass & Vanderwart (1980); Philadelphia Comprehension Battery: Saffran, Schwartz, Linebarger, Martin, & Bochetto (1988)",Cloze/Sentences,,,0,,English,,,Difficulty,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Ferstl, Garnham, & Manouilidou",2011,Implicit causality bias in English: a corpus of 300 verbs,Behavior Research Methods,43,124-135,10.3758/s13428-010-0023-2,305,,Words,Au (1986); Crinean & Garnham (2006); Rudolph (2008),,,,0,,English,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23,"Forsythe, Sheehy, & Sawey",2003,Measuring icon complexity: An automated analysis,"Behavior Research Methods, Instruments, & Computers",35,334-342,10.3758/BF03202562,68,,Symbols/Icons,"McDougall, Curry, & de Bruijn (1999)",,,,0,,British English,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Forsythe, Mulhern, & Sawey",2008,Confounds in pictorial sets: The role of complexity and familiarity in basic-level picture processing,Behavior Research Methods,40,116-129,10.3758/BRAI.40.1.116,260,290,Line drawings,Snodgrass & Vandert (1980),Pictures,"Bonin, Peereman, Malardier, Meot, & Chalard (2003)",,0,,British English,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Frishkoff, Collins-Thompson, Perfetti, & Callan",2008,Measuring incremental changes in word knowledge: Experimental validation and implications for learning and assessment,Behavior Research Methods,40,907-925,10.3758/BRM.40.4.907,60,,Word Pairs,MCWord Online Database: Medler & Binder (2005),,,,0,,English,,,Sentence context,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Gabriel, Gygax, Sarrasin, Garnham, & Oakhill",2008,"Au pairs are rarely male: Norms on the gender perception of role names across English, French, and German",Behavior Research Methods,40,206-212,10.3758/BRM.40.1.206,126,,Names,,,,,0,,Multiple,"British English, French, German",,Masculinity and femininity in role names ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Gahl, Jurafsky, & Roland",2004,"Verb subcategorization frequencies: American English corpus data, methodological studies, and cross-corpus comparisons","Behavior Research Methods, Instruments, & Computers",36,432-443,10.3758/BF03195591,281,18,Words,"TASA: Zeno, Ivens, Millard, & Duvvuri (1995); Kucera & Francis (1967)",Categories,,,0,,English,,,Verb bias,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
